FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;FIELD_TAMBAHAN_1;FIELD_TAMBAHAN_2;FIELD_TAMBAHAN_3;FIELD_TAMBAHAN_4;FIELD_TAMBAHAN_5
FM;03;0;0041832906440;07;2018;27/07/2018;316565373522000;KOP TENAGA KERJA BONGKAT MUAT PELABUHAN CILACAP;JL. SELAT MADURA NO. 53, TAMBAKREJA, CILACAP;40000000;4000000;0;1;014;014;;;
FM;03;0;0031806438293;07;2018;02/07/2018;710473794613000;PT BINTANG ALAM SENTOSA;PERAK TIMUR NO 112 SURABAYA;7800000;780000;0;1;015;015;;;
FM;03;1;0021827820203;07;2018;11/07/2018;011085016631000;KOP KOPERASI PEGAWAI PT PELABUHAN INDONESIA III SURABAYA;JL PERAK TIMUR NO 426 RT 03 RW 03 PERAK UTARA SURABAYA;6800000;680000;0;0;015;015;;;
FM;03;0;0041876372128;07;2018;23/07/2018;744936618613000;PT BERKAH INDUSTRI MESIN ANGKAT;JL PERAK BARAT NO 379 RT 002 RW 003 PERAK UTARA SURABAYA;38445500;3844550;0;1;015;015;;;
FM;03;0;0041832906429;07;2018;04/07/2018;316565373522000;KOP TENAGA KERJA BONGKAT MUAT PELABUHAN CILACAP;JL. SELAT MADURA NO. 53, TAMBAKREJA, CILACAP;55875754;5587575;0;1;014;014;;;
FM;03;1;0021870418126;07;2018;24/07/2018;317001766652000;KEN, CV;JL. PAPA KUNING III/12 RT 003 RW 015, KOTAMADYA MALANG;1104800000;110480000;0;1;014;014;;;
FM;03;0;0041899244817;07;2018;30/07/2018;010611804093000;PELINDO HUSADA CITRA;JL. PRAPAT KURUNG SELATAN NO. 1 RT 002 RW 003, SURABAYA;40900000;4090000;0;1;014;014;;;
FM;03;0;0041821027781;07;2018;20/07/2018;033375064604000;CV MITRA HUSADA;Darmo Indah Asri 3-AD/2 RT 002 RW 004 SURABAYA;10319000;1031900;0;0;015;015;;;
FM;03;0;0041852068343;07;2018;31/07/2018;021578430522000;ARINDO JAYA;JL. KAUMAN NO. 29 RUKO NO. 5 RT 05, RW 07, TEGALREJA, CILACAP;187254379;18725437;0;1;014;014;;;
FM;03;0;0041847089145;07;2018;19/07/2018;011085016631000;KOP KOPERASI PEGAWAI PT PELABUHAN INDONESIA III SURABAYA;JL PERAK TIMUR NO 426 RT 03 RW 03 PERAK UTARA SURABAYA;160439800;16043980;0;1;015;015;;;
FM;03;0;0021823295245;07;2018;23/07/2018;021583034522000;ARKEYNO;JL. SIRKAYA NO.6, TAMBAKREJA, CILACAP;21000000;2100000;0;1;014;014;;;
FM;03;0;0041847089115;07;2018;10/07/2018;011085016631000;KOP KOPERASI PEGAWAI PT PELABUHAN INDONESIA III SURABAYA;JL PERAK TIMUR NO 426 RT 03 RW 03 PERAK UTARA SURABAYA;58192500;5819250;0;1;015;015;;;
FM;03;0;0021827820261;07;2018;04/07/2018;011085016631000;KOP KOPERASI PEGAWAI PT PELABUHAN INDONESIA III SURABAYA;JL PERAK TIMUR NO 426 RT 03 RW 03 PERAK UTARA SURABAYA;45660000;4566000;0;0;015;015;;;
